"names","visualisingdata.com","graphicsociology","blog.oecdfactblog.org","datablog","datavisualization.ch","dataspora.com/blog","flowingdata.com","infosthetics.com","visualcomplexity.com/vc","visualjournalism.com","chartporn.org","visualizing.org","createdigitalmotion.com","news.designlanguage.com","xkcd.com","blog.wolframalpha.com","brainpickings.org","bang.clearscience.info","radar.oreilly.com","creativeapplications.net","informationisbeautiful.net","fellinlovewithdata.com","blogs.wsj.com/numbersguy","getprismatic.com","petewarden.typepad.com","indiemaps.com/blog","benfry.com/writing","serialconsign.com","perceptualedge","excelcharts.com/blog/posts","datajournalismblog.com","eagereyes.org","thefunctionalart.com","good.is/infographics","ilovecharts.tumblr.com","dailyinfographic.com","infographicsarchive.com","visualoop.tumblr.com","visualizingeconomics.com","spatialanalysis.co.uk","storiesthroughdata","sethssources.wordpress.com","datawrangling.com","infoisbeautifulawards","xblog","interactive-infographics.com","thewhyaxis.info","ideasillustrated.com/blog","Ben Fry","Daniel A.","David McCandless","Jer Thorp","Lisa Strausfeld","Manuel Lima","Marcos Weskamp","Moritz Stefaner","Stefanie Posavec","Santiago Ortiz","Jen Lowe","Jason Davies","Mike Bostock","Wilhelm Tulp","Martin Wattenberg","Edward Tufte","Jonathan Harris","Eric Fischer","Fernanda Viegas","Jerome Cukier","Jeff Clark","Nicolas Garcia","Gregor Aisch","Ben Shneiderman","Francesco Franchi","Christopher Warnow","Irene Ros","Lev Manovich","Nicholas Felton","Szucs Krisztina","Stephen Wolfram","Scott Murray","Matthew Ericson","Mahir M.","Jim Vallandingham","Martin Oberhaeuser","Benedikt Groß","Applied Works","BERG","Bestiario","Catalogtree","Bloom","Density Design","Envis Precisely","Field","Flink Labs","InfoMotor","Interactive Things","Ito World","JESS3","Juice Analytics","Oblong Industries","Periscopic","Pitch Interactive","Potion Design","Rhiza Labs","Seed Media","Taco Labs","Vizzuality","OOM","FFunction","Plaid","Visup","Data Republic","Data Market","NYT labs","tracemedia","R","Gephi","Quadrigram","Many Eyes","Tableau Software","Plot.io","infogr.am","Google chart","Gapminder","d3","Infovis","wordle","wolfram|alpha","create.visual.ly","Polychart","Miso","envision","geocommons","timeline.verite","DataKind","Visual Complexity","Visualize this","visual display","Visualizing Data","The visual"
"art",0,0,0,0,0,0,0,14,9,1,1,2,29,0,2,0,14,0,0,14,0,0,0,0,0,0,8,41,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,8,3,13,3,1,24,1,10,6,0,0,0,0,29,9,38,15,21,0,5,0,0,0,3,0,2,30,1,0,0,1,0,4,0,0,17,0,1,4,5,1,6,0,31,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,2,0
"portfolio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,23,0,2,22,5,17,18,10,3,0,0,1,3,7,0,18,1,2,0,0,1,0,0,30,11,0,0,11,0,0,8,3,2,2,35,40,23,2,0,28,1,0,0,24,0,0,19,1,12,0,0,14,4,2,0,1,0,4,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tools",5,0,0,0,1,0,13,0,0,0,0,16,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,13,1,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,5,2,0,0,0,0,0,1,0,14,3,0,0,0,1,0,0,1,0,0,0,1,0,4,0,2,11,24,0,26,22,9,35,18,12,3,3,11,19,32,10,23,0,23,19,0,0,2,0,0,0
"infographic",4,2,0,0,3,0,3,4,1,13,5,16,0,9,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,0,4,2,2,6,27,27,25,4,2,0,0,0,1,0,0,1,1,9,1,8,0,0,0,1,3,0,0,0,0,0,1,0,1,0,2,1,0,1,0,2,0,3,0,0,0,19,0,0,0,1,0,0,13,0,2,0,2,4,0,8,0,0,0,0,1,0,7,1,0,5,3,1,0,0,0,3,0,5,0,0,0,0,0,0,0,0,1,6,17,0,27,0,0,1,2,0,0,21,0,1,0,2,0,0,0,6,7,0,0
"research",1,6,0,0,0,3,1,1,0,2,0,0,0,0,0,6,0,0,4,1,0,16,6,0,2,0,1,23,1,0,0,6,0,0,0,7,0,3,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,6,0,0,0,0,10,0,20,0,0,0,25,0,4,0,0,31,0,0,0,47,0,0,0,0,0,0,0,0,0,0,20,2,0,1,11,0,0,1,0,0,0,0,0,1,1,0,0,0,3,9,1,0,0,0,0,0,22,24,0,0,1,3,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1,0,1,0,0
"interactive",0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,8,0,2,1,0,6,13,0,4,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,26,21,3,8,1,3,0,0,41,0,0,21,0,1,0,24,19,6,15,1,1,0,1,0,1,1,0,0,0,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,13,0,0,0,0,0,0
"javascript",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,0,0,0,1,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,72,59,0,0,0,18,51,17,0,31,0,0,0,0,0,0
"agency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,38,37,1,11,7,2,0,2,12,0,29,0,26,2,0,22,2,5,0,6,0,16,1,24,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"maps",1,1,0,1,0,0,0,2,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,2,10,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,40,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0,1,0,0,1,0,0,43,0,0,0,0,0,0,21,0,0,19,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0
"webdesign",0,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,1,1,0,3,12,0,29,2,0,0,0,3,1,0,0,1,10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,4,0,0,9,0,23,1,11,5,22,1,1,3,0,1,16,0,13,0,0,16,0,0,0,13,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
"visualisation",16,0,1,2,2,0,7,2,1,5,2,1,1,0,0,0,0,4,0,0,0,2,0,0,0,3,8,1,1,5,3,4,0,1,0,0,0,1,0,11,0,0,0,1,1,0,6,3,1,0,4,1,0,0,3,1,1,1,2,0,9,1,4,1,0,0,4,1,3,1,7,1,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0,2,0,8,1,0,0,14,0,1,2,1,4,0,1,0,0,1,0,0,4,7,4,0,0,0,2,0,2,1,6,1,18,0,6,3,0,0,3,1,2,0,1,1,6,0,2,1,2,1,2,2,0,1
"technology",0,0,0,1,0,0,1,13,0,0,0,0,7,0,0,0,11,0,39,26,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,1,0,0,1,34,1,0,7,9,20,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,13,0,0,0,0
"software",0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,12,17,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,15,0,0,0,0,0,5,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,23,29,1,10,26,1,2,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0
"graphic",0,0,0,0,1,0,0,4,0,4,0,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,1,1,0,0,0,2,0,1,0,21,0,0,0,9,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,21,0,0,0,19,0,0,0,9,4,0,14,8,11,0,1,25,0,16,0,3,0,0,2,0,1,0,0,1,2,0,0,1,0,0,0,4,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"blogs",2,0,1,3,2,5,1,2,0,3,1,0,1,7,1,23,4,0,12,1,1,11,18,0,9,6,14,4,1,1,1,2,0,1,2,2,0,11,1,7,0,0,0,0,23,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,1,0,0,0,0,6,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"programming",2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,4,3,0,0,0,0,14,15,31,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,10,0,3,8,0,1,2,0,0,16,0,19,0,4,0,0,0,2,2,0,0,0,0,0,8,0,0,2,1,0,0,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,25,0,2,0,0,0,0,12,0,1,1,0,0,0,0,2,2,0,0,0,0,1,3,0,0
